"","home_team","away_team","home_score","away_score","tournament","city","country","neutral","gameresult"
"1","Scotland","England",0,0,"Friendly","Glasgow","Scotland",FALSE,"0"
"2","England","Scotland",4,2,"Friendly","London","England",FALSE,"1"
"3","Scotland","England",2,1,"Friendly","Glasgow","Scotland",FALSE,"1"
"4","England","Scotland",2,2,"Friendly","London","England",FALSE,"0"
"5","Scotland","England",3,0,"Friendly","Glasgow","Scotland",FALSE,"1"
"6","Scotland","Wales",4,0,"Friendly","Glasgow","Scotland",FALSE,"1"
"7","England","Scotland",1,3,"Friendly","London","England",FALSE,"2"
"8","Wales","Scotland",0,2,"Friendly","Wrexham","Wales",FALSE,"2"
"9","Scotland","England",7,2,"Friendly","Glasgow","Scotland",FALSE,"1"
"10","Scotland","Wales",9,0,"Friendly","Glasgow","Scotland",FALSE,"1"
"11","England","Wales",2,1,"Friendly","London","England",FALSE,"1"
"12","England","Scotland",5,4,"Friendly","London","England",FALSE,"1"
"13","Wales","Scotland",0,3,"Friendly","Wrexham","Wales",FALSE,"2"
"14","Scotland","England",5,4,"Friendly","Glasgow","Scotland",FALSE,"1"
"15","Wales","England",2,3,"Friendly","Wrexham","Wales",FALSE,"2"
"16","Scotland","Wales",5,1,"Friendly","Glasgow","Scotland",FALSE,"1"
"17","England","Wales",0,1,"Friendly","Blackburn","England",FALSE,"2"
"18","England","Scotland",1,6,"Friendly","London","England",FALSE,"2"
"19","Wales","Scotland",1,5,"Friendly","Wrexham","Wales",FALSE,"2"
"20","Northern Ireland","England",0,13,"Friendly","Belfast","Republic of Ireland",FALSE,"2"
"21","Wales","Northern Ireland",7,1,"Friendly","Wrexham","Wales",FALSE,"1"
"22","Scotland","England",5,1,"Friendly","Glasgow","Scotland",FALSE,"1"
"23","Wales","England",5,3,"Friendly","Wrexham","Wales",FALSE,"1"
"24","Scotland","Wales",5,0,"Friendly","Glasgow","Scotland",FALSE,"1"
"25","England","Wales",5,0,"Friendly","London","England",FALSE,"1"
"26","England","Northern Ireland",7,0,"Friendly","Liverpool","England",FALSE,"1"
"27","England","Scotland",2,3,"Friendly","Sheffield","England",FALSE,"2"
"28","Wales","Scotland",0,3,"Friendly","Wrexham","Wales",FALSE,"2"
"29","Northern Ireland","Wales",1,1,"Friendly","Belfast","Republic of Ireland",FALSE,"0"
"30","Northern Ireland","Scotland",0,5,"British Championship","Belfast","Republic of Ireland",FALSE,"2"
"31","Wales","Northern Ireland",6,0,"British Championship","Wrexham","Wales",FALSE,"1"
"32","Northern Ireland","England",1,8,"British Championship","Belfast","Republic of Ireland",FALSE,"2"
"33","Scotland","England",1,0,"British Championship","Glasgow","Scotland",FALSE,"1"
"34","Wales","England",0,4,"British Championship","Wrexham","Wales",FALSE,"2"
"35","Scotland","Wales",4,1,"British Championship","Glasgow","Scotland",FALSE,"1"
"36","England","Northern Ireland",4,0,"British Championship","Manchester","England",FALSE,"1"
"37","England","Wales",1,1,"British Championship","Blackburn","England",FALSE,"0"
"38","Scotland","Northern Ireland",8,2,"British Championship","Glasgow","Scotland",FALSE,"1"
"39","England","Scotland",1,1,"British Championship","London","England",FALSE,"0"
"40","Wales","Scotland",1,8,"British Championship","Wrexham","Wales",FALSE,"2"
"41","Northern Ireland","Wales",2,8,"British Championship","Belfast","Republic of Ireland",FALSE,"2"
"42","United States","Other",0,1,"Friendly","Newark","United States",FALSE,"2"
"43","Wales","Northern Ireland",5,0,"British Championship","Wrexham","Wales",FALSE,"1"
